50,National Defense,"The National Defense function includes the military activities of the Department of Defense (DoD), the nuclear-weapons related activities of the Department of Energy (DoE) and the National Nuclear Security Administration, the national security activities of several other agencies such as the Selective Service Agency, and portions of the activities of the Coast Guard and the Federal Bureau of Investigation. The programs in this function include: the pay and benefits of active, Guard, and reserve military personnel; DoD operations including training, maintenance of equipment, and facilities; health care for military personnel and dependents; procurement of weapons; research and development; construction of military facilities, including housing; research on nuclear weapons; and the cleanup of nuclear weapons production facilities."
51,Department of Defense-Military,
53,Atomic energy defense activities,
54,Defense-related activities,
150,International Affairs,"Function 150 contains funding for all U.S. international activities, including: operating U.S. embassies and consulates throughout the world; providing military assistance to allies; aiding developing nations; dispensing economic assistance to fledgling democracies; promoting U.S. exports abroad; making U.S. payments to international organizations; and contributing to international peacekeeping efforts. Funding for all of these activities constitutes about one percent of the federal budget. The major agencies in this function include the Departments of Agriculture, State, and the Treasury; the United States Agency for International Development; and the Millennium Challenge Corporation."
151,International development and humanitarian assistance,
152,International security assistance,
153,Conduct of foreign affairs,
154,Foreign information and exchange activities,
155,International financial programs,
250,"General Science, Space, and Technology","This function includes the National Science Foundation (NSF), programs at the National Aeronautics and Space Administration except for aviation programs, and general science programs at the Department of Energy (DOE)."
251,General science and basic research,
252,"Space flight, research, and supporting activities",
270,Energy,"Function 270 contains civilian energy and environmental programs in the Department of Energy (DOE). This function also includes the Rural Utilities Service of the Department of Agriculture, the Tennessee Valley Authority, the Federal Energy Regulatory Commission, and the Nuclear Regulatory Commission. This function does not include DOE's national security activities, which are in Function 050 (National Defense), or its basic research and science activities, which are in Function 250 (General Science, Space and Technology)."
271,Energy supply,
272,Energy conservation,
274,Emergency energy preparedness,
276,"Energy information, policy, and regulation",
300,Natural Resources and Environment,"Function 300 includes programs concerned with environmental protection and enhancement; recreation and wildlife areas; and the development and management of the nation's land, water, and mineral resources. It includes programs within the following federal departments and agencies: Agriculture, Commerce, Interior, Transportation, the Army Corps of Engineers, and the Environmental Protection Agency (EPA)."
301,Water resources,
302,Conservation and land management,
303,Recreational resources,
304,Pollution control and abatement,
306,Other natural resources,
350,Agriculture,"Function 350 includes farm income stabilization, agricultural research, and other services administered by the U.S. Department of Agriculture. The discretionary programs include research and education programs, economics and statistics services, administration of the farm support programs, farm loan programs, meat and poultry inspection, and a portion of the Public Law (P.L.) 480 international food aid program. The mandatory programs include commodity programs, crop insurance, and certain farm loans"
351,Farm income stabilization,
352,Agricultural research and services,
370,Commerce and Housing Credit,"Function 370 includes mortgage credit, the Postal Service, deposit insurance, and other advancement of commerce (the majority of the discretionary and mandatory spending in this function). The mortgage credit component includes housing assistance through the Federal Housing Administration, the Federal National Mortgage Association (Fannie Mae), the Federal Home Loan Mortgage Corporation (Freddie Mac), the Government National Mortgage Association (Ginnie Mae), and rural housing programs of the Department of Agriculture. The function also includes net postal service spending and spending for deposit insurance activities of banks, thrifts, and credit unions. Most of the Commerce Department is provided for in this function. Finally, the function also includes funding for independent agencies such as the Securities and Exchange Commission, the Commodity Futures Trading Commission, the Federal Trade Commission, the Federal Communications Commission, and the majority of the Small Business Administration."
371,Mortgage credit,
372,Postal Service,
373,Deposit insurance,
376,Other advancement of commerce,
400,Transportation,"Function 400 consists mostly of the programs administered by the Department of Transportation, including programs for highways, mass transit, aviation, and maritime activities. This function also includes two components of the Department of Homeland Security: the Coast Guard and the Transportation Security Administration. In addition, this function includes several small transportation-related agencies and the research program for civilian aviation at the National Aeronautics and Space Administration (NASA)."
401,Ground transportation,
402,Air transportation,
403,Water transportation,
407,Other transportation,
450,Community and Regional Development,"Function 450 includes federal programs to improve community economic conditions, promote rural development, and assist in federal preparations for and response to disasters. This function provides appropriated funding for the Community Development Block Grant, Department of Agriculture rural development programs, the Bureau of Indian Affairs, the Federal Emergency Management Agency, and other disaster mitigation and community development-related programs. It also provides mandatory funding for the federal flood insurance program."
451,Community development,
452,Area and regional development,
453,Disaster relief and insurance,
500,"Education, Training, Employment, and Social Services","Function 500 includes funding for the Department of Education, social services programs within the Department of Health and Human Services, and employment and training programs within the Department of Labor. It also contains funding for the Library of Congress and independent research and art agencies such as the Corporation for Public Broadcasting, the Smithsonian Institution, the National Gallery of Art, the John F. Kennedy Center for the Performing Arts, the National Endowment for the Arts, and the National Endowment for the Humanities."
501,"Elementary, secondary, and vocational education",
502,Higher education,
503,Research and general education aids,
504,Training and employment,
505,Other labor services,
506,Social services,
550,Health,"Function 550 includes most direct health care services programs. Other health programs in this function fund anti-bioterrorism activities, national biomedical research, protecting the health of the general population and workers in their places of employment, providing health services for under-served populations, and promoting training for the health care workforce. Some of the agencies funded in this function include the National Institutes of Health (NIH), Centers for Disease Control and Prevention, Health Resources and Services Administration, and the Food and Drug Administration. The major mandatory programs in this function are Medicaid, the State Children's Health Insurance Program (SCHIP), federal and retirees' health benefits, and health care for Medicare-eligible military retirees."
551,Health care services,
552,Health research and training,
554,Consumer and occupational health and safety,
