omb_cat,name,year,corp,indv,total,gdp,gdp_price_index,corp_adj,indv_adj,total_adj,percent_corp,percent_gdp,percent_indv,percent_omb_cat,percent_total,percent_change,orig_name
Income Security,Additional Exemption For Elderly,1974,,1150000000.0,1150000000.0,1486200000000.0,0.2502279773846434,,4595809038,4595809038,,0.08,2.25,10.79,1.66,,Additional  Exemption For Over 63
Income Security,Additional Exemption For The Blind,1974,,15000000.0,15000000.0,1486200000000.0,0.2502279773846434,,59945335,59945335,,0.00,0.03,0.14,0.02,, 
Commerce And Housing,"Capital Gains (Except Agriculture, Timber, Iron Ore, And Coal)",1974,745000000.0,,745000000.0,1486200000000.0,0.2502279773846434,2977284985,,2977284985,4.08,0.05,,2.34,1.07,,Capital Gain: Corporate (Other Than Farming And Timber)
Agriculture,Capital Gains Treatment Of Certain Income,1974,30000000.0,520000000.0,550000000.0,1486200000000.0,0.2502279773846434,119890671,2078104956,2197995627,0.16,0.04,1.02,42.31,0.79,, 
Natural Resources And Environment,Capital Gains Treatment Of Certain Timber Income,1974,130000000.0,55000000.0,185000000.0,1486200000000.0,0.2502279773846434,519526239,219799563,739325802,0.71,0.01,0.11,84.09,0.27,,Timber: Capital Gian Treatment Of Certain Income
Energy,Capital Gains Treatment Of Royalties On Coal,1974,5000000.0,,5000000.0,1486200000000.0,0.2502279773846434,19981778,,19981778,0.03,0.00,,0.17,0.01,, 
"Education, Training, Employment, And Social Services",Child Care Facilities: 5-Year Amortization,1974,5000000.0,,5000000.0,1486200000000.0,0.2502279773846434,19981778,,19981778,0.03,0.00,,0.08,0.01,, 
"Education, Training, Employment, And Social Services",Credit For Child And Dependent Care Expenses,1974,,230000000.0,230000000.0,1486200000000.0,0.2502279773846434,,919161808,919161808,,0.02,0.45,3.91,0.33,,Deductibility Of Child And Dependent Care Expenses
General Purpose Fiscal Assistance,Credit For Corporations In Us Possessions,1974,350000000.0,5000000.0,355000000.0,1486200000000.0,0.2502279773846434,1398724490,19981778,1418706268,1.92,0.02,0.01,8.41,0.51,,Exclusion Of Income Earned In Us Possesions
"Education, Training, Employment, And Social Services",Credit For Employment Of Afdc Recipients And Public Assistance Recipients Under Work Incentive Programs,1974,5000000.0,,5000000.0,1486200000000.0,0.2502279773846434,19981778,,19981778,0.03,0.00,,0.08,0.01,,Credit For Employing Public Assistance Reciepents Under Work Incentive Program
General Government,Credits And Deductions For Political Contributions,1974,,10000000.0,10000000.0,1486200000000.0,0.2502279773846434,,39963557,39963557,,0.00,0.02,100.00,0.01,, 
Income Security,Deductibility Of Casualty Losses,1974,,255000000.0,255000000.0,1486200000000.0,0.2502279773846434,,1019070700,1019070700,,0.02,0.50,2.39,0.37,, 
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Education),1974,155000000.0,355000000.0,510000000.0,1486200000000.0,0.2502279773846434,619435131,1418706268,2038141399,0.85,0.03,0.69,8.67,0.73,,Deductibility Of Contributions To Educational Institutions
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Other Than Education),1974,290000000.0,3820000000.0,4110000000.0,1486200000000.0,0.2502279773846434,1158943149,15266078717,16425021866,1.59,0.28,7.46,69.84,5.92,, 
Commerce And Housing,Deductibility Of Interest On Consumer Credit,1974,,2435000000.0,2435000000.0,1486200000000.0,0.2502279773846434,,9731126093,9731126093,,0.16,4.76,7.66,3.51,, 
Health,Deductibility Of Medical Expenses,1974,,2125000000.0,2125000000.0,1486200000000.0,0.2502279773846434,,8492255831,8492255831,,0.14,4.15,41.95,3.06,, 
Commerce And Housing,Deductibility Of Mortgage Interest On Owner-Occupied Homes,1974,,4870000000.0,4870000000.0,1486200000000.0,0.2502279773846434,,19462252187,19462252187,,0.33,9.51,15.33,7.01,, 
Commerce And Housing,Deductibility Of Nonbusiness State And Local Taxes Other Than On Owner-Occupied Homes,1974,,6955000000.0,6955000000.0,1486200000000.0,0.2502279773846434,,27794653790,27794653790,,0.47,13.59,21.89,10.02,, 
Transportation,Deductibility Of Nonbusiness State Gasoline Taxes,1974,,865000000.0,865000000.0,1486200000000.0,0.2502279773846434,,3456847668,3456847668,,0.06,1.69,89.18,1.25,, 
Commerce And Housing,Deductibility Of State And Local Property Tax On Owner-Occupied Homes,1974,,4060000000.0,4060000000.0,1486200000000.0,0.2502279773846434,,16225204082,16225204082,,0.27,7.93,12.78,5.85,, 
Commerce And Housing,Deferral Of Capital Gains On Home Sales,1974,,255000000.0,255000000.0,1486200000000.0,0.2502279773846434,,1019070700,1019070700,,0.02,0.50,0.80,0.37,, 
International Affairs,Deferral Of Income Of Domestic International Sales Corporations (Disc),1974,870000000.0,,870000000.0,1486200000000.0,0.2502279773846434,3476829446,,3476829446,4.77,0.06,,81.69,1.25,, 
Transportation,Deferral Of Tax On Shipping Companies,1974,35000000.0,,35000000.0,1486200000000.0,0.2502279773846434,139872449,,139872449,0.19,0.00,,3.61,0.05,, 
Commerce And Housing,Depreciation On Buildings (Other Than Rental Housing) In Excess Of Straight Line,1974,285000000.0,220000000.0,505000000.0,1486200000000.0,0.2502279773846434,1138961370,879198251,2018159621,1.56,0.03,0.43,1.59,0.73,, 
